ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
215,Damen Ave & Madison St,15,15,In Service,41.88137,-87.67493,"(41.88137, -87.67493)"
587,Wabash Ave & 83rd St,11,11,In Service,41.743844072,-87.622768879,"(41.74384407231491, -87.62276887893677)"
163,Damen Ave & Clybourn Ave,15,15,In Service,41.931931,-87.677856,"(41.931931, -87.677856)"
128,Damen Ave & Chicago Ave,19,19,In Service,41.895769,-87.67722,"(41.895769, -87.67722)"
525,Glenwood Ave & Touhy Ave,15,15,In Service,42.012701,-87.666058,"(42.012701, -87.666058)"
249,Montrose Harbor,31,31,In Service,41.963982,-87.638181,"(41.963982, -87.638181)"
119,Ashland Ave & Lake St,19,19,In Service,41.88592,-87.66717,"(41.88592, -87.66717)"
496,Avers Ave & Belmont Ave,11,11,In Service,41.939408,-87.723574,"(41.939408, -87.723574)"
207,Emerald Ave & 28th St,15,15,In Service,41.84358,-87.645368,"(41.84358, -87.645368)"
518,Conservatory Dr & Lake St,11,11,In Service,41.885502,-87.716866,"(41.885502, -87.716866)"
559,Racine Ave & Garfield Blvd,11,11,In Service,41.794228,-87.655073,"(41.794228, -87.655073)"
312,Clarendon Ave & Gordon Ter,15,15,In Service,41.957866524,-87.649505138,"(41.95786652415174, -87.64950513839722)"
22,May St & Taylor St,15,15,In Service,41.8694821,-87.6554864,"(41.8694821, -87.6554864)"
553,Elizabeth St & 47th St,11,11,In Service,41.80839,-87.656526,"(41.80839, -87.656526)"
584,Ellis Ave & 83rd St,11,11,In Service,41.744123,-87.599034,"(41.744123, -87.599034)"
636,Orleans St & Hubbard St,11,11,In Service,41.890028,-87.636618,"(41.890028, -87.636618)"
582,Phillips Ave & 83rd St,11,11,In Service,41.744531,-87.56506,"(41.744531, -87.56506)"
15,Racine Ave & 18th St,15,15,In Service,41.858166,-87.656495,"(41.858166, -87.656495)"
538,Cicero Ave & Flournoy St,11,11,In Service,41.872131,-87.746619,"(41.872131, -87.746619)"
205,Paulina St & 18th St,15,15,In Service,41.857901,-87.668745,"(41.857901, -87.668745)"
253,Winthrop Ave & Lawrence Ave,15,15,In Service,41.968812,-87.657659,"(41.968812, -87.657659)"
343,Racine Ave & Wrightwood Ave,15,15,In Service,41.928887,-87.658971,"(41.928887, -87.658971)"
497,Kimball Ave & Belmont Ave,15,15,In Service,41.939398,-87.711561,"(41.939398, -87.711561)"
126,Clark St & North Ave,15,15,In Service,41.911974,-87.631942,"(41.911974, -87.631942)"
541,Central Ave & Harrison St,11,11,In Service,41.872993,-87.764499,"(41.872993, -87.764499)"
144,Larrabee St & Webster Ave,19,19,In Service,41.921822,-87.64414,"(41.921822, -87.64414)"
4,Burnham Harbor,23,23,In Service,41.857411787,-87.613791525,"(41.85741178707404, -87.61379152536392)"
601,Central St Metra,15,15,In Service,42.063598,-87.69873,"(42.063598, -87.69873)"
567,May St & 69th St,11,11,In Service,41.768938,-87.652934,"(41.768938, -87.652934)"
594,Western Blvd & 48th Pl,11,11,In Service,41.805661,-87.683392,"(41.805661, -87.683392)"
179,MLK Jr Dr & Pershing Rd,15,15,In Service,41.8246,-87.61678,"(41.8246, -87.61678)"
345,Lake Park Ave & 56th St,19,19,In Service,41.793242,-87.587782,"(41.793242, -87.587782)"
16,Paulina Ave & North Ave,15,15,In Service,41.909854652,-87.66993016,"(41.90985465216731, -87.66993016004562)"
73,Jefferson St & Monroe St,19,19,In Service,41.880329634,-87.642745972,"(41.880329633634624, -87.64274597167967)"
182,Wells St & Elm St,23,23,In Service,41.903222,-87.634324,"(41.903222, -87.634324)"
61,Wood St & Milwaukee Ave,19,19,In Service,41.907655,-87.672552,"(41.907655, -87.672552)"
544,Austin Blvd & Madison St,11,11,In Service,41.880281,-87.774453,"(41.880281, -87.774453)"
336,Cottage Grove Ave & 47th St,15,15,In Service,41.809855,-87.606755,"(41.809855, -87.606755)"
396,Yates Blvd & 75th St,11,11,In Service,41.758768,-87.56644,"(41.758768, -87.56644)"
143,Sedgwick St & Webster Ave,15,15,In Service,41.922167,-87.638888,"(41.922167, -87.638888)"
554,Damen Ave & 51st St,7,7,In Service,41.800908,-87.674684,"(41.800908, -87.674684)"
565,Ashland Ave & 66th St,7,7,In Service,41.774074,-87.663815,"(41.774074, -87.663815)"
100,Orleans St & Merchandise Mart Plaza,35,35,In Service,41.888243,-87.63639,"(41.888243, -87.63639)"
653,Cornell Dr & Hayes Dr,11,11,In Service,41.780595,-87.584846,"(41.780595, -87.584846)"
299,Halsted St & Roscoe St,15,15,In Service,41.94367,-87.64895,"(41.94367, -87.64895)"
162,Damen Ave & Wellington Ave,15,15,In Service,41.93588,-87.67842,"(41.93588, -87.67842)"
271,Cottage Grove Ave & 43rd St,11,11,In Service,41.816499,-87.606582,"(41.816499, -87.606582)"
580,Exchange Ave & 79th St,11,11,In Service,41.751731,-87.552812,"(41.751731, -87.552812)"
117,Wilton Ave & Belmont Ave,27,27,In Service,41.940231918,-87.65294373,"(41.940231918108594, -87.65294373035431)"
483,Avondale Ave & Irving Park Rd,19,19,In Service,41.953393,-87.732002,"(41.953393, -87.732002)"
645,Archer (Damen) Ave & 37th St,11,11,In Service,41.826712,-87.683144,"(41.826712, -87.683144)"
264,Stetson Ave & South Water St,19,19,In Service,41.886835,-87.62232,"(41.886835, -87.62232)"
303,Broadway & Cornelia Ave,23,23,In Service,41.945529,-87.646439,"(41.945529, -87.646439)"
137,Morgan Ave & 14th Pl,15,15,In Service,41.862378,-87.651062,"(41.862378, -87.651062)"
84,Milwaukee Ave & Grand Ave,19,19,In Service,41.891578,-87.648384,"(41.891578, -87.648384)"
302,Sheffield Ave & Wrightwood Ave,31,31,In Service,41.928712,-87.653833,"(41.928712, -87.653833)"
517,Clark St & Jarvis Ave,11,11,In Service,42.015963,-87.675005,"(42.015963, -87.675005)"
140,Dearborn Pkwy & Delaware Pl,19,19,In Service,41.898969,-87.629912,"(41.898969, -87.629912)"
432,Clark St & Lunt Ave,19,19,In Service,42.009011181,-87.674111724,"(42.009011180580764, -87.67411172389984)"
29,Noble St & Milwaukee Ave,15,15,In Service,41.90068,-87.6626,"(41.90068, -87.6626)"
520,Greenview Ave & Jarvis Ave,19,19,In Service,42.015962,-87.66857,"(42.015962, -87.66857)"
223,Clifton Ave & Armitage Ave,15,15,In Service,41.918216,-87.656936,"(41.918216, -87.656936)"
169,Canal St & Harrison St,15,15,In Service,41.874255,-87.639573,"(41.874255, -87.639573)"
349,Halsted St & Wrightwood Ave,15,15,In Service,41.929143,-87.649077,"(41.929143, -87.649077)"
88,Racine Ave & Randolph St,19,19,In Service,41.884069,-87.656853,"(41.884069, -87.656853)"
577,Stony Island Ave & South Chicago Ave,11,11,In Service,41.751173,-87.585337,"(41.751173, -87.585337)"
556,Throop St & 52nd St,7,7,In Service,41.799659,-87.657195,"(41.799659, -87.657195)"
534,Karlov Ave & Madison St,11,11,In Service,41.88085,-87.727907,"(41.88085, -87.727907)"
203,Western Ave & 21st St,15,15,In Service,41.854109,-87.685838,"(41.854109, -87.685838)"
330,Lincoln Ave & Addison St,19,19,In Service,41.946176,-87.673308,"(41.946176, -87.673308)"
626,Delano Ct & Roosevelt Rd,19,19,In Service,41.867491,-87.63219,"(41.867491, -87.63219)"
1674190170827532584,Public Rack - Austin Ave & Wellington Ave,1,1,In Service,41.9352453,-87.776052,"(41.9352453, -87.776052)"
1674190196597336410,Public Rack - Bell Ave & 95th St,2,2,In Service,41.721188,-87.678786,"(41.721188, -87.678786)"
268,DuSable Lake Shore Dr & North Blvd,39,39,In Service,41.911722,-87.626804,"(41.911722, -87.626804)"
216,California Ave & Division St,15,15,In Service,41.903029,-87.697474,"(41.903029, -87.697474)"
595,Wabash Ave & 87th St,11,11,In Service,41.736218767,-87.622645497,"(41.736218766793954, -87.62264549732208)"
260,Kedzie Ave & Milwaukee Ave,35,35,In Service,41.929567,-87.707857,"(41.929567, -87.707857)"
527,Western Ave & Howard St,15,15,In Service,42.018901,-87.690048,"(42.018901, -87.690048)"
23,Orleans St & Elm St,15,15,In Service,41.902924,-87.637715,"(41.902924, -87.637715)"
55,Halsted St & Roosevelt Rd,23,23,In Service,41.867324,-87.648625,"(41.867324, -87.648625)"
627,LaSalle Dr & Huron St,19,19,In Service,41.894877,-87.632326,"(41.894877, -87.632326)"
402,Shields Ave & 31st St,15,15,In Service,41.838464,-87.635406,"(41.838464, -87.635406)"
298,Lincoln Ave & Belle Plaine Ave,15,15,In Service,41.956003551,-87.680161446,"(41.95600355078549, -87.68016144633293)"
317,Wood St & Taylor St (Temp),23,23,In Service,41.869265218,-87.67373085,"(41.869265218438194, -87.67373085021973)"
539,Cicero Ave & Quincy St,11,11,In Service,41.877613,-87.745405,"(41.877613, -87.745405)"
106,State St & Pearson St,27,27,In Service,41.897448,-87.628722,"(41.897448, -87.628722)"
204,Prairie Ave & Garfield Blvd,11,11,In Service,41.794853,-87.618691,"(41.794853, -87.618691)"
77,Clinton St & Madison St,31,31,In Service,41.882242,-87.641066,"(41.882242, -87.641066)"
436,Fairfield Ave & Roosevelt Rd,11,11,In Service,41.866624,-87.694521,"(41.866624, -87.694521)"
333,Ashland Ave & Blackhawk St,15,15,In Service,41.907066,-87.667252,"(41.907066, -87.667252)"
659,Leavitt St & Chicago Ave,15,15,In Service,41.895501,-87.682017,"(41.895501, -87.682017)"
385,Princeton Ave & Garfield Blvd,11,11,In Service,41.794982,-87.633124,"(41.794982, -87.633124)"
540,Laramie Ave & Madison St,11,11,In Service,41.880207,-87.755337,"(41.880207, -87.755337)"
80,Aberdeen St & Monroe St,19,19,In Service,41.880419,-87.655519,"(41.880419, -87.655519)"
456,2112 W Peterson Ave,11,11,In Service,41.991178,-87.683593,"(41.991178, -87.683593)"
14,Morgan St & 18th St,15,15,In Service,41.858086,-87.651073,"(41.858086, -87.651073)"
109,900 W Harrison St,19,19,In Service,41.874754,-87.649807,"(41.874754, -87.649807)"
227,Southport Ave & Waveland Ave,23,23,In Service,41.94815,-87.66394,"(41.94815, -87.66394)"
152,Lincoln Ave & Diversey Pkwy,15,15,In Service,41.932225,-87.658617,"(41.932225, -87.658617)"
301,Clark St & Schiller St,19,19,In Service,41.907993,-87.631501,"(41.907993, -87.631501)"
243,Lincoln Ave & Sunnyside Ave,15,15,In Service,41.963004,-87.684781,"(41.963004, -87.684781)"
118,Sedgwick St & North Ave,19,19,In Service,41.911386,-87.638677,"(41.911386, -87.638677)"
339,Emerald Ave & 31st St,11,11,In Service,41.838198,-87.645143,"(41.838198, -87.645143)"
338,Calumet Ave & 18th St,15,15,In Service,41.857611,-87.619407,"(41.857611, -87.619407)"
660,Sheridan Rd & Columbia Ave,15,15,In Service,42.004583,-87.661406,"(42.004583, -87.661406)"
341,Adler Planetarium,39,39,In Service,41.866095,-87.607267,"(41.866095, -87.607267)"
663,Lincolnwood Dr & Central St,15,15,In Service,42.064854,-87.715297,"(42.064854, -87.715297)"
174,Canal St & Madison St,35,35,In Service,41.882091,-87.639833,"(41.882091, -87.639833)"
92,Carpenter St & Huron St,19,19,In Service,41.894556,-87.653449,"(41.894556, -87.653449)"
213,Leavitt St & North Ave,15,15,In Service,41.910509367,-87.682389021,"(41.91050936666395, -87.6823890209198)"
591,Kilbourn Ave & Milwaukee Ave,15,15,In Service,41.947070894,-87.740008235,"(41.94707089418471, -87.74000823497772)"
625,Dodge Ave & Main St,15,15,In Service,42.034631852,-87.699187696,"(42.03463185161588, -87.69918769598006)"
86,Eckhart Park,19,19,In Service,41.89637337,-87.66098386,"(41.89637337, -87.66098386)"
295,Broadway & Argyle St,19,19,In Service,41.973815,-87.65966,"(41.973815, -87.65966)"
475,Washtenaw Ave & Lawrence Ave,15,15,In Service,41.968987,-87.696027,"(41.968987, -87.696027)"
574,Vernon Ave & 79th St,11,11,In Service,41.75094,-87.61379,"(41.75094, -87.61379)"
329,DuSable Lake Shore Dr & Diversey Pkwy,23,23,In Service,41.932588,-87.636427,"(41.932588, -87.636427)"
274,Racine Ave & 15th St,15,15,In Service,41.861267,-87.656625,"(41.861267, -87.656625)"
21,Aberdeen St & Jackson Blvd,23,23,In Service,41.87772613,-87.65478743,"(41.87772613, -87.65478743)"
214,Damen Ave & Grand Ave,23,23,In Service,41.892394453,-87.676885128,"(41.892394452962705, -87.67688512802124)"
52,Michigan Ave & Lake St,35,35,In Service,41.886024,-87.624117,"(41.886024, -87.624117)"
604,Sheridan Rd & Noyes St (NU),15,15,In Service,42.058239,-87.677432,"(42.058239, -87.677432)"
262,Halsted St & 37th St,11,11,In Service,41.827059,-87.64572,"(41.827059, -87.64572)"
244,Ravenswood Ave & Irving Park Rd,19,19,In Service,41.95469,-87.67393,"(41.95469, -87.67393)"
550,Central Ave & Chicago Ave,11,11,In Service,41.894958,-87.764902,"(41.894958, -87.764902)"
666,Cherry Ave & Blackhawk St,15,15,In Service,41.907221,-87.655618,"(41.907221, -87.655618)"
657,Wood St & Augusta Blvd,15,15,In Service,41.899181,-87.6722,"(41.899181, -87.6722)"
198,Green St & Madison St,27,27,In Service,41.881892,-87.648789,"(41.881892, -87.648789)"
177,Theater on the Lake,31,31,In Service,41.926277,-87.630834,"(41.926277, -87.630834)"
470,Kedzie Ave & Foster Ave,11,11,In Service,41.975672,-87.709261,"(41.975672, -87.709261)"
586,MLK Jr Dr & 83rd St,11,11,In Service,41.743116,-87.6148,"(41.743116, -87.6148)"
190,Southport Ave & Wrightwood Ave,15,15,In Service,41.928773,-87.663913,"(41.928773, -87.663913)"
238,Wolcott (Ravenswood) Ave & Montrose Ave,15,15,In Service,41.961406,-87.676169,"(41.961406, -87.676169)"
277,Ashland Ave & Grand Ave,15,15,In Service,41.891072,-87.666611,"(41.891072, -87.666611)"
590,Kilbourn Ave & Irving Park Rd,11,11,In Service,41.953733,-87.740569,"(41.953733, -87.740569)"
165,Clark St & Grace St,23,23,In Service,41.95078,-87.659172,"(41.95078, -87.659172)"
528,Pulaski Rd & Lake St,11,11,In Service,41.885409,-87.726491,"(41.885409, -87.726491)"
59,Wabash Ave & Roosevelt Rd,23,23,In Service,41.867227,-87.625961,"(41.867227, -87.625961)"
321,Wabash Ave & 9th St,19,19,In Service,41.870769,-87.625734,"(41.870769, -87.625734)"
313,Lakeview Ave & Fullerton Pkwy,19,19,In Service,41.925858,-87.638973,"(41.925858, -87.638973)"
588,South Chicago Ave & 83rd St,11,11,In Service,41.743921,-87.575225,"(41.743921, -87.575225)"
47,State St & Kinzie St,31,31,In Service,41.889375467,-87.627076507,"(41.889375466631684, -87.62707650661469)"
111,Sedgwick St & Huron St,27,27,In Service,41.894666,-87.638437,"(41.894666, -87.638437)"
247,Shore Dr & 55th St,19,19,In Service,41.795212,-87.580715,"(41.795212, -87.580715)"
405,Wentworth Ave & 35th St,15,15,In Service,41.830777,-87.632504,"(41.830777, -87.632504)"
568,Vincennes Ave & 75th St,7,7,In Service,41.75797,-87.63121,"(41.75797, -87.63121)"
136,Racine Ave & 13th St,15,15,In Service,41.865054,-87.656959,"(41.865054, -87.656959)"
191,Canal St & Monroe St,27,27,In Service,41.88169,-87.63953,"(41.88169, -87.63953)"
18,Wacker Dr & Washington St,15,15,In Service,41.883143364,-87.637242079,"(41.88314336439022, -87.63724207878113)"
257,Lincoln Ave & Waveland Ave,15,15,In Service,41.948797,-87.675278,"(41.948797, -87.675278)"
218,Wells St & 19th St,11,11,In Service,41.856802,-87.633879,"(41.856802, -87.633879)"
230,Wood St & Webster Ave,19,19,In Service,41.92105673,-87.672797441,"(41.92105672992757, -87.67279744148254)"
351,Cottage Grove Ave & 51st St,15,15,In Service,41.803038,-87.606615,"(41.803038, -87.606615)"
293,Broadway & Wilson - Truman College Vaccination Site,23,23,In Service,41.965221,-87.658139,"(41.965221, -87.658139)"
281,Western Ave & 24th St,7,7,In Service,41.84847,-87.685109,"(41.84847, -87.685109)"
575,Cottage Grove Ave & 78th St,11,11,In Service,41.753174,-87.605026,"(41.753174, -87.605026)"
167,Damen Ave & Coulter St,7,7,In Service,41.8492,-87.67564,"(41.8492, -87.67564)"
261,Hermitage Ave & Polk St,15,15,In Service,41.871514,-87.669886,"(41.871514, -87.669886)"
164,Franklin St & Lake St,27,27,In Service,41.885837,-87.6355,"(41.885837, -87.6355)"
558,Ashland Ave & Garfield Blvd,11,11,In Service,41.792822,-87.664429,"(41.792822, -87.664429)"
564,Racine Ave & 65th St,11,11,In Service,41.775393,-87.654308,"(41.775393, -87.654308)"
113,Sheridan Rd & Argyle St,15,15,In Service,41.97328682,-87.654759586,"(41.97328682025979, -87.65475958585739)"
116,Western Ave & Winnebago Ave,15,15,In Service,41.91552,-87.687022,"(41.91552, -87.687022)"
529,Cicero Ave & Lake St,11,11,In Service,41.886841,-87.745261,"(41.886841, -87.745261)"
310,Damen Ave & Charleston St,11,11,In Service,41.920082,-87.677855,"(41.920082, -87.677855)"
531,Central Ave & Lake St,11,11,In Service,41.887664,-87.765469,"(41.887664, -87.765469)"
292,Southport Ave & Clark St,11,11,In Service,41.957081,-87.664199,"(41.957081, -87.664199)"
630,Kildare Ave & Montrose Ave,15,15,In Service,41.96108,-87.73569,"(41.96108, -87.73569)"
246,Ashland Ave & Belle Plaine Ave,11,11,In Service,41.956057,-87.668835,"(41.956057, -87.668835)"
146,Loomis St & Jackson Blvd,19,19,In Service,41.877945,-87.662007,"(41.877945, -87.662007)"
166,Ashland Ave & Wrightwood Ave,15,15,In Service,41.92883,-87.668507,"(41.92883, -87.668507)"
514,Ridge Blvd & Howard St,11,11,In Service,42.019276,-87.68452,"(42.019276, -87.68452)"
196,Cityfront Plaza Dr & Pioneer Ct,31,31,In Service,41.890573,-87.622072,"(41.890573, -87.622072)"
305,Western Ave & Division St,23,23,In Service,41.902893,-87.687275,"(41.902893, -87.687275)"
576,Greenwood Ave & 79th St,11,11,In Service,41.751294,-87.597552,"(41.751294, -87.597552)"
251,Clarendon Ave & Leland Ave,15,15,In Service,41.967968,-87.650001,"(41.967968, -87.650001)"
542,Central Ave & Madison St,11,11,In Service,41.880121,-87.763238,"(41.880121, -87.763238)"
652,Rhodes Ave & 71st St,11,11,In Service,41.766,-87.611726,"(41.766, -87.611726)"
201,Indiana Ave & 40th St,11,11,In Service,41.82168,-87.6216,"(41.82168, -87.6216)"
331,Halsted St & Clybourn Ave,27,27,In Service,41.909668,-87.648128,"(41.909668, -87.648128)"
242,Damen Ave & Leland Ave,15,15,In Service,41.967094,-87.679028,"(41.967094, -87.679028)"
185,Stave St & Armitage Ave,11,11,In Service,41.917741,-87.691392,"(41.917741, -87.691392)"
346,Ada St & Washington Blvd,15,15,In Service,41.88283,-87.661206,"(41.88283, -87.661206)"
549,Marshfield Ave & 44th St,11,11,In Service,41.813996,-87.666589,"(41.813996, -87.666589)"
592,Knox Ave & Montrose Ave,11,11,In Service,41.960631,-87.745359,"(41.960631, -87.745359)"
639,Lakefront Trail & Wilson Ave,15,15,In Service,41.965845,-87.645361,"(41.965845, -87.645361)"
665,South Chicago Ave & Elliot Ave,7,7,In Service,41.747363,-87.580046,"(41.747363, -87.580046)"
219,Damen Ave & Cortland St,19,19,In Service,41.915983,-87.677335,"(41.915983, -87.677335)"
159,Claremont Ave & Hirsch St,11,11,In Service,41.907781,-87.685854,"(41.907781, -87.685854)"
423,University Ave & 57th St,31,31,In Service,41.791478,-87.599861,"(41.791478, -87.599861)"
535,Pulaski Rd & Congress Pkwy,11,11,In Service,41.87441021,-87.726091594,"(41.87441021003816, -87.72609159350395)"
